날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-01-02,40,8,3,-52956,9948140,-0.519,-0.519,2,
2026-01-05,40,10,4,-63675,9883878,-0.646,-1.161,1,
2026-01-06,41,7,3,21967,9925462,0.421,-0.745,2,
2026-01-07,41,7,1,-102300,9813495,-1.128,-1.865,2,
2026-01-08,42,4,0,-37834,9765831,-0.486,-2.342,2,
2026-01-09,42,7,1,-103466,9658110,-1.103,-3.419,2,
2026-01-12,40,5,2,-42817,9628667,-0.305,-3.713,2,
2026-01-13,40,2,1,3127,9631865,0.033,-3.681,2,
2026-01-14,42,6,0,-143967,9474991,-1.629,-5.250,1,
2026-01-15,41,8,3,-51227,9431674,-0.457,-5.683,2,
2026-01-16,40,11,4,-116504,9307650,-1.315,-6.924,1,
2026-01-19,40,3,1,69046,9383254,0.812,-6.167,2,
2026-01-20,40,5,3,94089,9464044,0.861,-5.360,2,
2026-01-21,40,11,4,-73222,9398081,-0.697,-6.019,2,
2026-01-22,40,8,3,13470,9408360,0.109,-5.916,2,
2026-01-23,41,9,3,-81645,9332612,-0.805,-6.674,2,
2026-01-26,41,10,5,-35009,9297209,-0.379,-7.028,2,
2026-01-27,42,5,1,-53338,9242825,-0.585,-7.572,2,
2026-01-28,40,5,2,-35192,9207503,-0.382,-7.925,2,
2026-01-29,42,8,1,-86635,9117203,-0.981,-8.828,2,
2026-01-30,42,7,0,-136420,8980254,-1.502,-10.197,2,
2026-02-02,42,11,3,-100556,8891830,-0.985,-11.082,1,
2026-02-03,41,5,1,-48035,8841750,-0.563,-11.582,2,
2026-02-04,41,4,2,-426,8836399,-0.061,-11.636,1,
2026-02-05,41,11,2,-112815,8723641,-1.276,-12.764,0,
2026-02-06,40,4,0,-57699,8665085,-0.671,-13.349,2,
2026-02-09,42,10,4,-8998,8653430,-0.135,-13.466,2,
2026-02-10,42,10,2,-145263,8511680,-1.638,-14.883,0,
2026-02-11,40,5,3,-34991,8473937,-0.443,-15.261,2,
2026-02-12,40,6,4,-12973,8463984,-0.117,-15.360,2,
2026-02-13,42,9,3,-28526,8435187,-0.340,-15.648,0,
2026-02-19,40,4,2,-23059,8410792,-0.289,-15.892,2,
2026-02-20,42,7,1,-40544,8370960,-0.474,-16.290,2,
2026-02-23,41,3,2,-17310,8356625,-0.171,-16.434,2,
2026-02-24,41,14,6,-75620,8282300,-0.889,-17.177,2,
2026-02-25,40,9,2,-102012,8170105,-1.355,-18.299,2,
2026-02-26,41,8,2,-99761,8076876,-1.141,-19.231,0,
2026-02-27,40,4,1,-48436,8025628,-0.635,-19.744,1,
2026-03-03,41,9,2,-142761,7885679,-1.744,-21.143,0,
2026-03-04,40,6,2,-31069,7854609,-0.394,-21.454,0,
2026-03-05,40,7,1,-75853,7786797,-0.863,-22.132,1,
2026-03-06,40,4,2,2559,7789272,0.032,-22.107,2,
2026-03-09,42,5,0,-136900,7644413,-1.860,-23.556,0,
2026-03-10,40,5,3,22466,7666878,0.294,-23.331,0,
2026-03-11,40,3,1,-17975,7648902,-0.234,-23.511,0,
2026-03-12,40,6,1,-59920,7586051,-0.822,-24.139,2,
2026-03-13,41,6,1,-122126,7466855,-1.571,-25.331,0,
2026-03-16,40,8,0,-113897,7352958,-1.525,-26.470,0,
2026-03-17,40,7,2,-78393,7263830,-1.212,-27.362,2,
2026-03-18,42,8,3,22831,7294824,0.427,-27.052,1,
2026-03-19,41,3,1,1787,7305642,0.148,-26.944,2,
2026-03-20,42,10,1,-96191,7200455,-1.440,-27.995,2,
2026-03-23,41,11,3,-114207,7088783,-1.551,-29.112,0,
2026-03-24,40,5,3,33459,7122184,0.471,-28.778,1,
2026-03-25,40,5,4,43099,7169114,0.659,-28.309,2,
2026-03-26,41,6,1,-50920,7103990,-0.908,-28.960,2,
2026-03-27,42,6,0,-125243,6989175,-1.616,-30.108,0,
2026-03-30,40,4,1,-53713,6934799,-0.778,-30.652,1,
2026-03-31,40,10,3,-86073,6849388,-1.232,-31.506,0,
2026-04-01,40,11,3,-53624,6795406,-0.788,-32.046,1,
2026-04-02,40,15,7,-25022,6769179,-0.386,-32.308,1,
2026-04-03,40,4,2,-3032,6767348,-0.027,-32.327,1,
2026-04-06,41,6,1,-57607,6713881,-0.790,-32.861,2,
2026-04-07,40,5,2,31600,6739986,0.389,-32.600,1,
2026-04-08,41,7,4,5620,6747218,0.107,-32.528,2,
2026-04-09,42,6,2,-11308,6739797,-0.110,-32.602,2,
2026-04-10,42,10,7,3870,6734522,-0.078,-32.655,2,
2026-04-13,40,6,2,-39910,6714386,-0.299,-32.856,2,
2026-04-14,42,10,3,-80702,6620554,-1.397,-33.794,1,
2026-04-15,41,7,3,-31568,6590672,-0.451,-34.093,2,
2026-04-16,42,6,2,-18111,6573969,-0.253,-34.260,2,
2026-04-17,42,8,0,-94282,6473587,-1.527,-35.264,2,
2026-04-20,42,8,2,-21825,6456809,-0.259,-35.432,2,
2026-04-21,42,3,0,-56851,6396623,-0.932,-36.034,0,
2026-04-22,40,8,3,-57444,6338369,-0.911,-36.616,1,
2026-04-23,40,5,3,34503,6373774,0.559,-36.262,1,
2026-04-24,40,12,5,-32709,6341750,-0.502,-36.582,2,
2026-04-27,41,9,3,-92826,6240589,-1.595,-37.594,2,
2026-04-28,42,5,1,-86433,6161709,-1.264,-38.383,0,
2026-04-29,40,6,2,-64704,6098007,-1.034,-39.020,2,
2026-04-30,41,5,2,-12413,6100455,0.040,-38.995,1,
2026-05-04,41,11,4,-72556,6006912,-1.533,-39.931,1,
2026-05-06,40,11,2,-71652,5938871,-1.133,-40.611,2,
2026-05-07,41,5,3,1597,5944670,0.098,-40.553,1,
2026-05-08,41,6,1,-62062,5875859,-1.158,-41.241,1,
2026-05-11,40,10,4,-17725,5862186,-0.233,-41.378,0,
2026-05-12,40,5,1,-22326,5839859,-0.381,-41.601,0,
2026-05-13,40,7,3,-59268,5780590,-1.015,-42.194,0,
2026-05-14,40,5,3,30688,5814132,0.580,-41.859,2,
2026-05-15,41,8,2,-72625,5738651,-1.298,-42.613,0,
2026-05-18,40,6,1,-87176,5651475,-1.519,-43.485,0,
2026-05-19,40,4,2,-26105,5623065,-0.503,-43.769,1,
2026-05-20,41,8,3,-49631,5574684,-0.860,-44.253,1,
2026-05-21,41,4,3,12204,5587302,0.226,-44.127,1,
2026-05-22,41,10,4,25886,5616540,0.523,-43.835,2,
2026-05-26,42,6,2,-52084,5557088,-1.059,-44.429,1,
2026-05-27,40,8,1,-74088,5486848,-1.264,-45.132,1,
2026-05-28,41,6,1,-34779,5450821,-0.657,-45.492,1,
2026-05-29,40,5,3,14433,5465492,0.269,-45.345,1,
2026-06-01,40,6,2,-10929,5455535,-0.182,-45.445,1,
2026-06-02,40,11,4,-41119,5415255,-0.738,-45.847,0,
2026-06-04,40,8,2,-72558,5348408,-1.234,-46.516,2,
2026-06-05,42,8,1,-69945,5265907,-1.543,-47.341,1,
