날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-06-08,41,5,0,-79938,5192812,-1.388,-48.072,0,
2026-06-09,40,11,5,-24092,5165270,-0.530,-48.347,1,
2026-06-10,41,10,2,-87008,5081710,-1.618,-49.183,0,
2026-06-11,40,1,0,-10392,5068469,-0.261,-49.315,1,
2026-06-12,41,3,2,-4172,5067145,-0.026,-49.329,0,
2026-06-15,40,8,1,-79597,4987548,-1.571,-50.125,0,
2026-06-16,40,7,4,-18949,4971354,-0.325,-50.286,1,
2026-06-17,41,5,3,9637,4978234,0.138,-50.218,0,
2026-06-18,40,5,1,-32891,4945342,-0.661,-50.547,0,
2026-06-19,40,6,2,-8662,4936679,-0.175,-50.633,0,
2026-06-22,40,7,2,-19227,4922587,-0.285,-50.774,2,
2026-06-23,42,7,2,-52805,4864646,-1.177,-51.354,0,
2026-06-24,40,5,0,-65837,4796963,-1.391,-52.030,1,
2026-06-25,41,7,3,-38680,4760129,-0.768,-52.399,0,
2026-06-26,40,8,2,-24710,4735418,-0.519,-52.646,0,
2026-06-29,40,2,1,-6352,4729066,-0.134,-52.709,0,
2026-06-30,40,1,0,-10780,4717055,-0.254,-52.829,1,
2026-07-01,40,7,2,-16255,4702031,-0.319,-52.980,0,
2026-07-02,40,2,0,-9392,4692639,-0.200,-53.074,0,
2026-07-03,40,7,0,-75982,4616657,-1.619,-53.833,0,
2026-07-06,40,1,0,-10390,4634602,0.389,-53.654,2,
2026-07-07,41,7,2,-39023,4567812,-1.441,-54.322,1,
2026-07-08,41,5,3,85956,4651917,1.841,-53.481,2,
2026-07-09,42,4,0,-62644,4586028,-1.416,-54.140,1,
2026-07-10,40,5,2,-2553,4585862,-0.004,-54.141,1,
2026-07-13,40,9,3,-42516,4542447,-0.947,-54.576,1,
2026-07-14,40,7,0,-83954,4461528,-1.781,-55.385,0,
2026-07-15,40,6,1,-32738,4429948,-0.708,-55.701,1,
2026-07-16,40,6,3,6002,4434791,0.109,-55.652,0,
2026-07-20,40,8,2,-63570,4371221,-1.433,-56.288,0,
2026-07-21,40,5,0,-50756,4317268,-1.234,-56.827,2,
2026-07-22,41,6,3,-14829,4305634,-0.269,-56.944,0,
2026-07-23,40,4,0,-38473,4273280,-0.751,-57.267,2,
2026-07-24,42,5,1,-42362,4221981,-1.200,-57.780,2,
2026-07-27,41,8,2,-45909,4179436,-1.008,-58.206,2,
2026-07-28,42,5,2,-36456,4139871,-0.947,-58.601,1,
2026-07-29,41,2,2,4999,4153095,0.319,-58.469,1,
2026-07-30,40,5,1,-4375,4143055,-0.242,-58.569,0,
2026-07-31,40,5,0,-68205,4074850,-1.646,-59.252,0,
2026-08-03,40,9,5,37542,4108968,0.837,-58.910,2,
2026-08-04,40,3,2,46968,4159120,1.221,-58.409,1,
2026-08-05,40,5,1,-19461,4138778,-0.489,-58.612,1,
2026-08-06,41,6,2,-29864,4105496,-0.804,-58.945,1,
2026-08-07,40,10,2,-63374,4046658,-1.433,-59.533,0,
2026-08-10,40,4,2,-977,4046453,-0.005,-59.535,1,
2026-08-11,41,7,0,-60824,3984857,-1.522,-60.151,0,
2026-08-12,40,6,4,1949,3987568,0.068,-60.124,1,
2026-08-13,41,7,2,-15181,3971202,-0.410,-60.288,1,
2026-08-14,41,4,1,-18380,3952993,-0.459,-60.470,2,
2026-08-18,41,6,1,-39546,3913698,-0.994,-60.863,0,
2026-08-19,40,3,0,-19987,3893711,-0.511,-61.063,0,
2026-08-20,40,0,0,0,3892657,-0.027,-61.073,2,
2026-08-21,42,7,1,-51146,3843015,-1.275,-61.570,2,
2026-08-24,42,9,0,-47405,3797361,-1.188,-62.026,2,
2026-08-25,42,7,0,-57996,3737164,-1.585,-62.628,0,
2026-08-26,40,6,2,-35071,3701439,-0.956,-62.986,2,
2026-08-27,41,7,4,12792,3714657,0.357,-62.853,1,
2026-08-28,41,5,1,-42938,3673622,-1.105,-63.264,1,
2026-08-31,40,6,1,-51609,3621198,-1.427,-63.788,2,
2026-09-01,41,9,3,-34964,3584951,-1.001,-64.150,1,
2026-09-02,41,5,0,-37058,3548313,-1.022,-64.517,0,
2026-09-03,40,3,1,-31861,3516131,-0.907,-64.839,1,
2026-09-04,40,4,0,-15826,3500710,-0.439,-64.993,2,
2026-09-07,41,5,2,6381,3507057,0.181,-64.929,2,
2026-09-08,40,6,5,45213,3552217,1.288,-64.478,0,
2026-09-09,40,4,1,-6833,3545157,-0.199,-64.548,1,
2026-09-10,41,7,1,-55341,3490042,-1.555,-65.100,0,
2026-09-11,40,3,0,-31521,3455566,-0.988,-65.444,2,
2026-09-14,41,7,4,17134,3475708,0.583,-65.243,2,
2026-09-15,41,7,2,-25468,3449670,-0.749,-65.503,2,
2026-09-16,42,6,1,-30115,3420752,-0.838,-65.792,1,
2026-09-17,40,4,2,-1689,3418381,-0.069,-65.816,0,
2026-09-18,40,6,2,-20320,3398061,-0.594,-66.019,0,
2026-09-21,40,1,0,-6301,3391941,-0.180,-66.081,1,
2026-09-22,41,8,3,-12665,3376873,-0.444,-66.231,1,
2026-09-23,40,3,1,2489,3382246,0.159,-66.178,2,
