날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-01-02,60,0,0,0,10015455,0.155,0.155,8,
2026-01-05,61,10,9,242457,10252868,2.370,2.529,7,
2026-01-06,60,7,3,5985,10259191,0.062,2.592,7,
2026-01-07,60,7,5,79052,10338237,0.770,3.382,8,
2026-01-08,61,9,6,62133,10370987,0.317,3.710,6,
2026-01-09,61,8,1,-108027,10280580,-0.872,2.806,7,
2026-01-12,60,11,7,207429,10506873,2.201,5.069,6,
2026-01-13,60,10,4,121226,10605029,0.934,6.050,7,
2026-01-14,60,10,3,-85807,10536525,-0.646,5.365,8,
2026-01-15,60,10,3,-9747,10515941,-0.195,5.159,8,
2026-01-16,60,10,7,104543,10630177,1.086,6.302,8,
2026-01-19,60,11,7,196802,10825197,1.835,8.252,8,
2026-01-20,60,9,5,118907,10940086,1.061,9.401,8,
2026-01-21,60,8,0,-181972,10785645,-1.412,7.856,8,
2026-01-22,61,10,8,406336,11228692,4.108,12.287,9,
2026-01-23,62,10,7,255541,11440308,1.885,14.403,9,
2026-01-26,60,10,6,110984,11541168,0.882,15.412,8,
2026-01-27,60,8,1,-7982,11521583,-0.170,15.216,8,
2026-01-28,60,13,10,269581,11788312,2.315,17.883,8,
2026-01-29,60,9,7,62982,11847893,0.505,18.479,8,
2026-01-30,63,14,2,-143307,11669236,-1.508,16.692,7,
2026-02-02,62,9,1,-186069,11480155,-1.620,14.802,7,
2026-02-03,63,9,6,242554,11760042,2.438,17.600,7,
2026-02-04,60,9,5,144872,11895496,1.152,18.955,8,
2026-02-05,63,9,1,-187886,11647238,-2.087,16.472,8,
2026-02-06,64,8,2,-51683,11681004,0.290,16.810,8,
2026-02-09,63,10,7,301987,11955224,2.348,19.552,6,
2026-02-10,60,6,2,-7605,11961060,0.049,19.611,8,
2026-02-11,62,10,5,191855,12127907,1.395,21.279,8,
2026-02-12,61,9,2,-58787,12094964,-0.272,20.950,7,
2026-02-13,64,7,1,-74997,12007571,-0.723,20.076,8,
2026-02-19,60,12,8,378107,12399675,3.265,23.997,8,
2026-02-20,60,10,5,-2098,12389878,-0.079,23.899,6,
2026-02-23,60,8,6,144604,12541369,1.223,25.414,7,
2026-02-24,60,9,5,10343,12549605,0.066,25.496,7,
2026-02-25,62,8,8,212667,12769594,1.753,27.696,7,
2026-02-26,60,10,7,160286,12912107,1.116,29.121,7,
