날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-01-02,40,0,0,0,10000654,0.007,0.007,1,
2026-01-05,40,3,2,11858,10019468,0.188,0.195,2,
2026-01-06,41,3,2,6535,10038519,0.190,0.385,2,
2026-01-07,41,3,2,45373,10074225,0.356,0.742,2,
2026-01-08,42,3,0,-10233,10054541,-0.195,0.545,2,
2026-01-09,42,5,1,-85190,9973228,-0.809,-0.268,2,
2026-01-12,42,5,1,-46902,9931688,-0.417,-0.683,2,
2026-01-13,40,4,2,8808,9940661,0.090,-0.593,2,
2026-01-14,42,6,2,-23172,9903987,-0.369,-0.960,1,
2026-01-15,41,3,0,-62788,9849110,-0.554,-1.509,2,
2026-01-16,40,3,3,40198,9881686,0.331,-1.183,1,
2026-01-19,40,4,4,119846,10013677,1.336,0.137,2,
2026-01-20,40,4,3,68716,10066301,0.526,0.663,2,
2026-01-21,40,4,2,-6714,10063742,-0.025,0.637,2,
2026-01-22,40,3,2,30526,10090675,0.268,0.907,2,
2026-01-23,41,5,1,-50428,10041938,-0.483,0.419,2,
2026-01-26,41,3,0,-46227,9999622,-0.421,-0.004,2,
2026-01-27,41,3,3,32699,10032523,0.329,0.325,2,
2026-01-28,40,5,4,44844,10073392,0.407,0.734,2,
2026-01-29,42,2,1,4335,10077007,0.036,0.770,2,
2026-01-30,42,5,0,-88604,9987730,-0.886,-0.123,2,
2026-02-02,42,4,2,-12188,9986253,-0.015,-0.137,1,
2026-02-03,41,4,3,49128,10036259,0.501,0.363,2,
2026-02-04,41,4,2,9733,10040083,0.038,0.401,1,
2026-02-05,41,2,0,-24875,10010594,-0.294,0.106,2,
2026-02-06,41,3,1,-10619,10006565,-0.040,0.066,2,
2026-02-09,42,3,3,64707,10064612,0.580,0.646,2,
2026-02-10,42,4,1,-40076,10020691,-0.436,0.207,2,
2026-02-11,41,6,4,1226,10027010,0.063,0.270,2,
2026-02-12,40,4,2,-15006,10015767,-0.112,0.158,2,
2026-02-13,42,4,3,31835,10126733,1.108,1.267,1,
2026-02-19,41,2,1,55856,10102740,-0.237,1.027,2,
2026-02-20,42,3,1,20200,10122763,0.198,1.228,2,
2026-02-23,41,4,4,66245,10181347,0.579,1.813,2,
2026-02-24,41,7,2,-75210,10120250,-0.600,1.202,2,
2026-02-25,40,4,3,23108,10128839,0.085,1.288,2,
2026-02-26,41,3,1,-40322,10097204,-0.312,0.972,0,
2026-02-27,40,2,0,-39717,10054675,-0.421,0.547,1,
2026-03-03,41,2,1,4967,10062453,0.077,0.625,0,
2026-03-04,40,2,1,18544,10080996,0.184,0.810,0,
2026-03-05,40,3,1,-31133,10063265,-0.176,0.633,1,
2026-03-06,40,4,3,52661,10112944,0.494,1.129,2,
2026-03-09,42,3,0,-59511,10034918,-0.772,0.349,1,
2026-03-10,40,3,2,5242,10048253,0.133,0.483,0,
2026-03-11,40,4,2,-11051,10037202,-0.110,0.372,0,
2026-03-12,40,0,0,0,10033022,-0.042,0.330,2,
2026-03-13,41,6,3,20166,10042301,0.092,0.423,2,
2026-03-16,42,3,0,-56760,10000607,-0.415,0.006,0,
2026-03-17,40,4,4,74373,10061214,0.606,0.612,2,
2026-03-18,42,4,4,84256,10158450,0.966,1.584,2,
2026-03-19,41,3,2,19130,10187367,0.285,1.874,2,
2026-03-20,42,4,2,34538,10215760,0.279,2.158,2,
2026-03-23,41,3,2,21312,10234212,0.181,2.342,0,
2026-03-24,40,3,2,-1102,10233015,-0.012,2.330,1,
2026-03-25,40,4,4,47592,10286908,0.527,2.869,1,
2026-03-26,41,2,0,-41292,10223513,-0.616,2.235,2,
2026-03-27,42,4,2,-63982,10177977,-0.445,1.780,2,
2026-03-30,41,4,1,-50208,10126925,-0.502,1.269,1,
2026-03-31,40,2,1,-2282,10122935,-0.039,1.229,0,
2026-04-01,40,3,1,-19935,10101439,-0.212,1.014,1,
2026-04-02,40,4,3,15557,10117661,0.161,1.177,1,
2026-04-03,40,4,3,24864,10139947,0.220,1.399,2,
2026-04-06,41,4,2,-35844,10113891,-0.257,1.139,2,
