신호ID,종목코드,종목명,전략,운용,시각,가격,결과,상세,후속결정,신호근거,등락률%,VWAP이격%,범위위치,체결강도,거래량배수,스프레드틱,5분후,15분후,30분후,60분후,60분최고,60분최저
012330#21-S20260106091607,012330,현대모비스,ORB,FullAuto,2026-01-06 09:16:07,385500,진입,,,"ORB5 고가 385,000 돌파 (범위 1.6%)",3.35,0.22,0.591,265.1,0.80,1,,,,,,
307950#20-S20260106092022,307950,현대오토에버,ORB,FullAuto,2026-01-06 09:20:22,351500,진입,,,"ORB5 고가 350,000 돌파 (범위 7.2%)",12.66,0.07,0.658,182.9,1.27,1,,,,,,
047810#24-S20260106124300,047810,한국항공우주,VWAP눌림,FullAuto,2026-01-06 12:43:00,135100,진입,,,"VWAP 134,266 재돌파, 직전봉 고가 134,900 돌파",8.69,0.62,0.688,227.0,0.75,1,,,,,,
047810#24-S20260106140900,047810,한국항공우주,VWAP눌림,FullAuto,2026-01-06 14:09:00,135500,진입,,,"VWAP 134,481 재돌파, 직전봉 고가 135,400 돌파",9.01,0.76,0.709,237.0,0.51,1,,,,,,
042700#27-S20260106150000,042700,한미반도체,종가베팅,FullAuto,2026-01-06 15:00:00,180500,진입,,,"종가베팅: 등락 +3.8%, 고저범위 96% 위치, VWAP 175,492 위",3.80,2.85,0.964,495.4,4.47,1,,,,,,
403870#25-S20260106150000,403870,HPSP,종가베팅,FullAuto,2026-01-06 15:00:00,38300,진입,,,"종가베팅: 등락 +9.4%, 고저범위 88% 위치, VWAP 37,003 위",9.43,3.51,0.878,446.2,0.60,1,,,,,,
006140#29-S20260107090525,006140,피제이전자,ORB,FullAuto,2026-01-07 09:05:25,8340,진입,,,"ORB5 고가 8,310 돌파 (범위 7.9%)",14.56,3.83,1,192.6,1.24,1,,,,,,
454910#32-S20260107102300,454910,두산로보틱스,VWAP눌림,FullAuto,2026-01-07 10:23:00,86500,진입,,,"VWAP 86,410 재돌파, 직전봉 고가 86,500 돌파",6.53,0.10,0.602,264.0,1.07,1,,,,,,
454910#32-S20260107104900,454910,두산로보틱스,VWAP눌림,FullAuto,2026-01-07 10:49:00,86900,진입,,,"VWAP 86,451 재돌파, 직전봉 고가 86,500 돌파",7.02,0.52,0.648,276.6,1.14,1,,,,,,
006140#29-S20260107130820,006140,피제이전자,ORB,FullAuto,2026-01-07 13:08:20,8350,진입,,,"ORB5 고가 8,310 돌파 (범위 7.9%)",14.70,0.25,0.494,177.6,10.68,1,,,,,,
006140#29-S20260107133612,006140,피제이전자,ORB,FullAuto,2026-01-07 13:36:12,8330,진입,,,"ORB5 고가 8,310 돌파 (범위 7.9%)",14.42,0.36,0.483,170.7,3.55,1,,,,,,
123690#36-S20260107133700,123690,한국화장품,VWAP눌림,FullAuto,2026-01-07 13:37:00,11920,진입,,,"VWAP 11,807 재돌파, 직전봉 고가 11,840 돌파",14.40,0.95,0.719,144.4,0.68,1,,,,,,
123690#36-S20260107135500,123690,한국화장품,VWAP눌림,FullAuto,2026-01-07 13:55:00,11800,진입,,,"VWAP 11,783 재돌파, 직전봉 고가 11,570 돌파",13.24,0.15,0.674,139.2,1.43,1,,,,,,
249420#37-S20260107150000,249420,일동제약,종가베팅,FullAuto,2026-01-07 15:00:00,42950,진입,,,"종가베팅: 등락 +10.4%, 고저범위 97% 위치, VWAP 41,389 위",10.41,3.77,0.971,315.8,1.56,1,,,,,,
