날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-01-02,40,8,3,-40841,9959814,-0.402,-0.402,1,
2026-01-05,40,9,5,62710,10027703,0.682,0.277,2,
2026-01-06,41,7,3,-16568,10025426,-0.023,0.254,2,
2026-01-07,41,9,6,200,10015959,-0.094,0.160,2,
2026-01-08,42,4,2,-8758,9997750,-0.182,-0.022,2,
2026-01-09,42,6,1,-74252,9916714,-0.811,-0.833,2,
2026-01-12,41,5,3,-18114,9914623,-0.021,-0.854,2,
2026-01-13,40,7,2,-33404,9881384,-0.335,-1.186,2,
2026-01-14,42,5,1,-48698,9819185,-0.629,-1.808,1,
2026-01-15,41,4,1,-54119,9772977,-0.471,-2.270,2,
2026-01-16,40,8,4,-13529,9751846,-0.216,-2.482,1,
2026-01-19,40,4,4,118994,9882964,1.345,-1.170,2,
2026-01-20,40,6,4,100355,9967227,0.853,-0.328,2,
2026-01-21,40,18,10,-45433,9925947,-0.414,-0.741,2,
2026-01-22,40,8,2,-65103,9857251,-0.692,-1.427,2,
2026-01-23,41,6,2,-49359,9809788,-0.482,-1.902,2,
2026-01-26,41,9,4,-58828,9754665,-0.562,-2.453,2,
2026-01-27,41,7,3,-31187,9723680,-0.318,-2.763,2,
2026-01-28,40,5,4,32112,9751817,0.289,-2.482,2,
2026-01-29,42,9,3,-73714,9677383,-0.763,-3.226,2,
2026-01-30,42,7,0,-130428,9546436,-1.353,-4.536,2,
2026-02-02,42,10,5,-7789,9548947,0.026,-4.511,1,
2026-02-03,41,3,2,24556,9573651,0.259,-4.263,2,
2026-02-04,41,4,2,4156,9572882,-0.008,-4.271,1,
2026-02-05,41,7,1,-91105,9479875,-0.972,-5.201,2,
2026-02-06,41,6,3,-11397,9472356,-0.079,-5.276,2,
2026-02-09,42,4,4,102335,9568030,1.010,-4.320,2,
2026-02-10,42,14,3,-158723,9414048,-1.609,-5.860,0,
2026-02-11,40,4,1,-63963,9347122,-0.711,-6.529,2,
2026-02-12,40,7,4,-1148,9349205,0.022,-6.508,2,
2026-02-13,42,10,5,-59985,9361999,0.137,-6.380,1,
2026-02-19,41,4,3,62016,9350517,-0.123,-6.495,2,
2026-02-20,42,7,1,-59149,9291191,-0.634,-7.088,2,
2026-02-23,41,3,3,26163,9308910,0.191,-6.911,2,
2026-02-24,41,8,5,5815,9329068,0.217,-6.709,2,
2026-02-25,40,6,3,-22433,9295192,-0.363,-7.048,2,
2026-02-26,41,8,3,-70411,9230943,-0.691,-7.691,0,
2026-02-27,40,4,1,-53488,9174643,-0.610,-8.254,1,
2026-03-03,41,7,1,-77052,9100403,-0.809,-8.996,0,
2026-03-04,40,5,4,76721,9177122,0.843,-8.229,0,
2026-03-05,40,4,1,-37958,9149886,-0.297,-8.501,1,
2026-03-06,40,8,6,109812,9257217,1.173,-7.428,2,
2026-03-09,42,6,2,-38320,9205315,-0.561,-7.947,1,
2026-03-10,40,6,3,19607,9230259,0.271,-7.697,0,
2026-03-11,40,4,1,-50702,9179557,-0.549,-8.204,0,
2026-03-12,40,5,1,-30954,9144432,-0.383,-8.556,2,
2026-03-13,41,10,2,-100874,9033570,-1.212,-9.664,2,
2026-03-16,42,10,1,-146792,8900935,-1.468,-10.991,0,
2026-03-17,40,6,4,24740,8913122,0.137,-10.869,2,
2026-03-18,42,5,5,98567,9022882,1.231,-9.771,2,
2026-03-19,41,4,3,30147,9062412,0.438,-9.376,2,
2026-03-20,42,9,3,-18103,9038518,-0.264,-9.615,2,
2026-03-23,41,17,7,-103455,8932825,-1.169,-10.672,0,
2026-03-24,40,5,4,7650,8940398,0.085,-10.596,1,
2026-03-25,40,5,5,72613,9018407,0.873,-9.816,1,
2026-03-26,41,4,1,-21319,8979404,-0.432,-10.206,2,
2026-03-27,42,8,2,-138097,8853668,-1.400,-11.463,0,
2026-03-30,40,4,1,-33831,8821355,-0.365,-11.786,1,
2026-03-31,40,4,1,-39996,8779841,-0.471,-12.202,0,
2026-04-01,40,11,6,2677,8780956,0.013,-12.190,1,
2026-04-02,40,12,5,-40484,8741247,-0.452,-12.588,1,
2026-04-03,40,4,3,36838,8776010,0.398,-12.240,2,
2026-04-06,41,12,5,-59628,8724279,-0.589,-12.757,2,
2026-04-07,40,4,3,90871,8806272,0.940,-11.937,1,
2026-04-08,41,3,2,25360,8835223,0.329,-11.648,2,
2026-04-09,42,10,3,-92097,8748237,-0.985,-12.518,2,
2026-04-10,42,10,8,65537,8801523,0.609,-11.985,2,
2026-04-13,40,6,3,6263,8833392,0.362,-11.666,2,
2026-04-14,42,7,2,-49132,8769197,-0.727,-12.308,1,
2026-04-15,41,6,3,-11448,8758840,-0.118,-12.412,2,
2026-04-16,42,6,4,15603,8775634,0.192,-12.244,2,
2026-04-17,42,10,0,-123895,8644248,-1.497,-13.558,2,
2026-04-20,42,5,2,-23147,8627586,-0.193,-13.724,2,
2026-04-21,42,4,2,-5036,8624259,-0.039,-13.757,2,
2026-04-22,41,10,5,-30194,8586747,-0.435,-14.133,2,
2026-04-23,40,10,3,-96856,8491177,-1.113,-15.088,1,
2026-04-24,40,14,7,-14801,8477113,-0.166,-15.229,2,
2026-04-27,41,8,4,-45534,8420718,-0.665,-15.793,2,
2026-04-28,42,6,2,-57996,8374133,-0.553,-16.259,1,
2026-04-29,41,4,0,-164825,8207891,-1.985,-17.921,0,
2026-04-30,40,3,2,-11584,8220227,0.150,-17.798,1,
2026-05-04,41,6,2,-20594,8166669,-0.652,-18.333,2,
2026-05-06,41,15,7,-13729,8160289,-0.078,-18.397,2,
2026-05-07,41,6,3,1878,8173474,0.162,-18.265,2,
2026-05-08,41,5,4,21372,8188291,0.181,-18.117,2,
2026-05-11,40,6,5,100494,8285722,1.190,-17.143,0,
2026-05-12,40,3,2,14813,8300534,0.179,-16.995,0,
2026-05-13,40,7,2,-83015,8222836,-0.936,-17.772,1,
2026-05-14,41,3,2,-154,8221669,-0.014,-17.783,2,
2026-05-15,41,8,2,-58121,8159241,-0.759,-18.408,0,
2026-05-18,40,6,3,-10979,8154456,-0.059,-18.455,2,
2026-05-19,41,6,3,-4295,8140639,-0.169,-18.594,1,
2026-05-20,41,8,4,-3111,8132603,-0.099,-18.674,2,
2026-05-21,42,5,4,39095,8177005,0.546,-18.230,2,
2026-05-22,41,12,4,-65832,8117867,-0.723,-18.821,2,
2026-05-26,42,9,4,-25398,8081736,-0.445,-19.183,1,
2026-05-27,40,11,3,-57487,8030100,-0.639,-19.699,1,
2026-05-28,41,5,4,30253,8064410,0.427,-19.356,1,
2026-05-29,40,11,6,30043,8090327,0.321,-19.097,2,
2026-06-01,41,10,5,-26366,8067037,-0.288,-19.330,2,
2026-06-02,41,13,6,-62079,8037934,-0.361,-19.621,2,
2026-06-04,41,10,5,-37937,7972595,-0.813,-20.274,2,
2026-06-05,42,7,3,-51448,7904512,-0.854,-20.955,1,
2026-06-08,41,5,0,-121008,7792678,-1.415,-22.073,0,
2026-06-09,40,2,1,5460,7792199,-0.006,-22.078,2,
2026-06-10,41,11,5,-38196,7766834,-0.326,-22.332,2,
2026-06-11,42,3,2,6922,7762586,-0.055,-22.374,1,
2026-06-12,41,6,4,29959,7796819,0.441,-22.032,0,
2026-06-15,40,9,5,-19162,7775584,-0.272,-22.244,1,
2026-06-16,40,7,4,-26019,7755769,-0.255,-22.442,1,
2026-06-17,41,3,2,23595,7775231,0.251,-22.248,0,
2026-06-18,40,5,1,-47029,7730328,-0.578,-22.697,2,
2026-06-19,40,10,4,-36842,7691359,-0.504,-23.086,0,
2026-06-22,40,1,0,-18051,7681998,-0.122,-23.180,2,
2026-06-23,42,5,0,-74020,7599288,-1.077,-24.007,0,
2026-06-24,40,7,3,13005,7609522,0.135,-23.905,1,
2026-06-25,41,13,7,-40294,7570441,-0.514,-24.296,1,
2026-06-26,41,9,5,-19182,7552811,-0.233,-24.472,0,
2026-06-29,40,3,1,3760,7557012,0.056,-24.430,1,
2026-06-30,41,5,2,-40747,7513270,-0.579,-24.867,1,
2026-07-01,41,8,4,15280,7531104,0.237,-24.689,0,
2026-07-02,40,2,1,12007,7543110,0.159,-24.569,0,
2026-07-03,40,8,1,-75702,7467273,-1.005,-25.327,2,
2026-07-06,40,4,3,23323,7537390,0.939,-24.626,2,
2026-07-07,41,6,1,-61054,7430814,-1.414,-25.692,1,
2026-07-08,41,10,6,57176,7486479,0.749,-25.135,2,
2026-07-09,42,6,2,-68618,7409181,-1.033,-25.908,1,
2026-07-10,40,5,4,7804,7415909,0.091,-25.841,2,
2026-07-13,40,7,5,12137,7432104,0.218,-25.679,1,
2026-07-14,40,9,2,-106488,7337395,-1.274,-26.626,2,
2026-07-15,41,8,5,13089,7346509,0.124,-26.535,1,
2026-07-16,40,7,1,-89920,7254852,-1.248,-27.451,0,
2026-07-20,40,8,2,-83363,7171488,-1.149,-28.285,0,
2026-07-21,40,3,2,-4296,7163505,-0.111,-28.365,2,
2026-07-22,41,6,3,1260,7168450,0.069,-28.316,0,
2026-07-23,40,8,4,-44065,7131536,-0.515,-28.685,2,
2026-07-24,42,7,1,-52222,7067157,-0.903,-29.328,2,
2026-07-27,41,8,1,-98049,6973982,-1.318,-30.260,2,
2026-07-28,42,5,1,-112298,6861814,-1.608,-31.382,0,
2026-07-29,40,1,0,-12912,6858343,-0.051,-31.417,1,
2026-07-30,40,5,4,37397,6886299,0.408,-31.137,0,
2026-07-31,40,12,5,-86243,6798036,-1.282,-32.020,2,
2026-08-03,42,9,1,-116214,6683841,-1.680,-33.162,0,
2026-08-04,40,4,1,-42341,6641500,-0.633,-33.585,0,
2026-08-05,40,3,1,-21252,6619348,-0.334,-33.807,2,
2026-08-06,41,10,3,-57418,6551705,-1.022,-34.483,2,
2026-08-07,40,7,5,24115,6587188,0.542,-34.128,1,
2026-08-10,40,4,3,15497,6604139,0.257,-33.959,2,
2026-08-11,41,13,3,-106363,6496074,-1.636,-35.039,0,
2026-08-12,40,7,4,-24343,6472463,-0.363,-35.275,2,
2026-08-13,41,8,5,19592,6490474,0.278,-35.095,1,
2026-08-14,41,4,1,-24613,6465182,-0.390,-35.348,2,
2026-08-18,41,6,3,4741,6471446,0.097,-35.286,0,
2026-08-19,40,2,1,-5111,6466335,-0.079,-35.337,0,
2026-08-20,40,0,0,0,6465712,-0.010,-35.343,2,
2026-08-21,42,7,3,-20502,6446813,-0.292,-35.532,2,
2026-08-24,42,9,2,-40331,6404148,-0.662,-35.959,2,
2026-08-25,42,6,1,-57650,6344135,-0.937,-36.559,2,
2026-08-26,40,8,5,-30116,6316424,-0.437,-36.836,2,
2026-08-27,41,9,4,-10804,6306474,-0.158,-36.935,1,
2026-08-28,41,4,1,-15085,6295196,-0.179,-37.048,1,
2026-08-31,40,6,1,-54471,6239274,-0.888,-37.607,2,
2026-09-01,41,9,4,1742,6238293,-0.016,-37.617,2,
2026-09-02,41,6,1,-66929,6172183,-1.060,-38.278,0,
2026-09-03,40,4,2,-18195,6151937,-0.328,-38.481,1,
2026-09-04,41,8,5,219,6153195,0.020,-38.468,2,
2026-09-07,41,4,2,330,6155861,0.043,-38.441,2,
2026-09-08,40,5,4,25569,6180103,0.394,-38.199,0,
2026-09-09,40,3,0,-28291,6162847,-0.279,-38.372,2,
2026-09-10,41,8,3,-31783,6113817,-0.796,-38.862,2,
2026-09-11,42,5,0,-79398,6036076,-1.272,-39.639,2,
2026-09-14,41,6,4,53901,6095076,0.977,-39.049,2,
2026-09-15,41,6,2,-14816,6077509,-0.288,-39.225,2,
2026-09-16,41,5,2,-9130,6072629,-0.080,-39.274,1,
2026-09-17,40,8,4,-25179,6045405,-0.448,-39.546,0,
2026-09-18,40,6,2,-31115,6014290,-0.515,-39.857,0,
2026-09-21,40,2,0,-27473,5986803,-0.457,-40.132,2,
2026-09-22,41,9,6,4630,5985889,-0.015,-40.141,1,
2026-09-23,40,3,2,13987,6008535,0.378,-39.915,2,
